title,page
A Gazelle,286
The Flight of the Arrow,286
The Vision of the Snow,286
The Hero of the Commune,286
"A Grave in Hollywood Cemetery, Richmond (J. R. T.)",287
"My Old Kentucky Home, Good-Night",288
Old Folks at Home,288
Massa's in de Cold Ground,289
Segovia and Madrid,289
Arachne,289
Bluebeard's Closet,290
Life,290
Done For,291
In Vain,291
The Blue and the Gray,292
The Vagabonds,292
Midwinter,294
Midsummer,294
The Word of God to Leyden came,295
The Babie,296
Twilight at Sea,296
Why thus longing?,296
Balder's Wife,297
Nearer Home,297
The Master's Invitation,297
To a Young Child,298
The Pilgrim,298
A Strip of Blue,299
'Tis but a Little Faded Flower,300
Olivia,300
Under the Snow,301
Tacking Ship off Shore,302
Antony to Cleopatra,303
The Second Mate,303
To an Autumn Leaf,305
Ebb and Flow,305
Thalatta! Thalatta!,305
Incognita of Raphael,306
On One who died in May,306
But Once,307
Alma Mater's Roll,307
Bookra,308
"On a Boy's First Reading of ""King Henry V""",311
To a Magnolia Flower in the Garden of the Armenian Convent at Venice,311
Of One who seemed to have Failed,312
The Quaker Graveyard,313
Idleness,313
"A Decanter of Madeira, Aged 86, to George Bancroft, Aged 86, Greeting",313
The Cotton Boll,314
Quatorzain,316
Charleston,316
At Magnolia Cemetery,317
Aspects of the Pines,317
Vicksburg,317
Between the Sunken Sun and the New Moon,318
A Storm in the Distance,318
The Rose and Thorn,319
A little while I fain would linger yet,319
In Harbor,319
Life: Life,320
Life: A Book,320
Life: Utterance,320
Life: With Flowers,320
Life: Parting,320
Life: Called Back,320
Love: Choice,321
Love: Constant,321
"Love: Heart, we will forget him",321
Nature: The Waking Year,321
Nature: Autumn,321
Nature: Beclouded,321
Nature: Fringed Gentian,321
Time and Eternity: Too Late,322
Time and Eternity: Chartless,322
Time and Eternity: The Battle-Field,322
Time and Eternity: Vanished,322
Time and Eternity: That such have died,322
Time and Eternity: The Secret,322
Time and Eternity: Eternity,322
Adonais,323
The Stab,323
Coronation,324
Morn,324
Emigravit,324
Poppies in the Wheat,325
A Last Prayer,325
Habeas Corpus,325
Samuel Hoar,326
Ariana,326
At Chappaqua,326
The Scarlet Tanager,326
Sea-Birds,327
"""My Dearling""",327
The Last Landlord,327
In a Garret,328
Rock me to Sleep,329
Sonnets: The Dead Singer,329
Sonnets: Virtuosa,330
Sonnets: At Set of Sun,330
Sonnets: Down the Bayou,330
Sonnets: Reserve,330
Sonnets: Her Horoscope,330
Embryo,331
A Georgia Volunteer,331
Music and Memory,332
A Soldier's Grave,332
Landor,332
Bos'n Hill,332
Dandelions,333
Song from a Drama,333
The Discoverer,333
Pan in Wall Street,334
Kearny at Seven Pines,335
The Hand of Lincoln,335
Salem (A. D. 1692),336
Falstaff's Song,336
The World well Lost,337
Helen Keller,337
Morgan,338
On a Great Man whose Mind is Clouding,338
Si Jeunesse savait!,338
Mors Benefica,338
"Quest - From ""Corda Concordia""",339
Invocation,339
Song of the Palm,340
With a Nantucket Shell,341
March,342
"Gil, the Toreador",342
Dum Vivimus Vigilemus,342
Indirection,343
The Word,343
An Old Man's Idyl,343
Farewell to Summer,344
Beer,345
World Music,345
Unfulfilment,346
In the Dark,346
On Waking from a Dreamless Sleep,346
Theocritus,347
Little Guinever,347
The Return,347
"""Song, to the Gods, is Sweetest Sacrifice""",348
The Guest,348
All's Well,348
White Azaleas,349
The Mower in Ohio,349
Rose and Root,350
To Abraham Lincoln,350
Farther,350
The Child in the Street,351
To a Lady,351
The Guerdon,351
Torch-Light in Autumn,351
Ireland,351
Leaves at my Window,351
The Lost Genius,352
Purpose,353
Phantoms all,353
Evanescence,354
Music in the Night,354
A Sigh,354
The Pines,354
Voice,355
The Hunt,355
To-Night,355
A Painted Fan,356
The Shadow Dance,356
Laus Veneris,356
Laura Sleeping,356
Hic Jacet,357
The Last Good-by,357
Were but my Spirit loosed upon the Air,357
We lay us down to Sleep,357
Louisa May Alcott - In Memoriam,358
Love's Resurrection Day,358
To John Greenleaf Whittier - On the Death of Lowell,358
The New Castalia,358
My New World,359
At Shakespeare's Grave,359
Man's Pillow,360
Poetry,360
On the Heights,360
Don Juan,361
El Vaquero,361
The Derelict,361
God save the Nation,361
Coeur de Lion to Berengaria,362
The Flight from the Convent,362
Sir Marmaduke's Musings,363
A Chrysalis,363
In Death,363
Beyond Recall,364
A Spray of Honeysuckle,364
The Beautiful,364
The Dead Solomon,364
Alcyone,365
The School Girl,366
My Catbird,366
Sonnets: In Hades,367
Sonnets: Benedicite,367
The Modern Romans,368
Then and Now,368
Seaward,369
The Sandpiper,369
Song,370
May Morning,370
My Queen,371
Asleep,371
The Night Watch,371
On the Verge,371
Adelaide Neilson,372
Arthur,372
The Passing Bell at Stratford,373
I. H. B.,373
Unwritten Poems,374
After Wings,374
My Babes in the Wood,374
The Witch in the Glass,375
Tradition of Conquest,375
The Watch of a Swan,375
In Clonmel Parish Churchyard,376
A Call on Sir Walter Raleigh,376
An Irish Wild-Flower,377
Transfigured,377
The Term of Death,377
Envoy,377
On Lebanon,377
Divided,378
The Cross of Gold,378
Appreciation,379
To Hafiz,379
When the Sultan goes to Ispahan,379
Palabras Carinosas,380
Heredity,380
Identity,380
Unguarded Gates,380
Guilielmus Rex,381
"Sargent's Portrait of Edwin Booth at ""The Players""",381
Tennyson,381
A Shadow of the Night,381
Sonnets: Enamoured Architect of Airy Rhyme,382
Sonnets: Reminiscence,382
Sonnets: Outward Bound,382
Sonnets: Andromeda,383
Sonnets: The Undiscovered Country,383
Sonnets: Sleep,383
Prescience,383
Memory,384
Thalia,384
Quatrains: Masks,384
Quatrains: Memories,384
Quatrains: Circumstance,384
Quatrains: On Reading,384
Quatrains: Quits,385
An Ode - On the Unveiling of the Shaw Memorial on Boston Common,385
A Petition,385
In Earliest Spring,386
The Two Wives,386
From Generation to Generation,386
Change,386
If,387
Hope,387
Vision,387
Judgment Day,387
What shall it profit?,387
The Old Sergeant,388
"From ""In State""",389
Tellus,390
Authority,390
Whittier,391
Awakening,391
Comrades,391
Shakespeare,391
The Two Mysteries,392
Once Before,393
The Stars,393
Emerson,393
Shadow-Evidence,394
"From ""The Brook""",394
Liberty,395
The Surrender of Spain,396
Christine,396
Pike County Ballads: Jim Bludso of the Prairie Belle,396
Pike County Ballads: Little Breeches,397
The Stirrup-Cup,398
"From ""The Song of the Ancient People""",398
"Heaven, O Lord, I cannot lose",399
A Character,399
The Clue,400
Delay,400
Woodbines in October,400
The Living Book,400
My Maryland,400
John Pelham,401
Why the Robin's Breast was Red,402
The Conquered Banner,402
A Child's Wish,403
At the Hacienda,403
Chiquita,403
Grizzly,404
Crotalus,404
"""Jim""",405
The Society upon the Stanislaus,405
The Aged Stranger,406
Madrono,407
What the Bullet sang,407
Europa,407
Poet of Earth,408
The Waiting Chords,408
Evelyn,409
A Soldier Poet,409
The Ride to Cherokee,410
Recollection,410
Old Flemish Lace,411
Believe and take Heart,411
The Starry Host,411
Silence,412
Forepledged,412
"From ""God and the Soul"": Nature and the Child",412
"From ""God and the Soul"": Et Mori Lucrum",412
"From ""God and the Soul"": The Void Between",413
"From ""God and the Soul"": At the Ninth Hour",413
The Reed,413
Medusa,414
A Song for Lexington,415
Man and Nature,415
The Making of Man,415
The Golden-Robin's Nest,416
Recognition,416
Starlight,416
The Rise of Man,417
His Mother's Joy,417
A Wedding-Song,417
Army Correspondent's Last Ride,417
In Rama,418
The Fool's Prayer,419
Before Sunrise in Winter,419
The Lover's Song,420
The Coup de Grace,420
Tempted,420
Force,420
A Prayer,421
Christmas Night of '62,421
Dreaming in the Trenches,422
A Dream of Flowers,422
The Crystal,423
Nihil Humani Alienum,423
Cressid,423
The Love-Knot,424
Riding Down,424
Who knows?,425
Silence,425
Brook Song,425
The Wild Geese,426
His Statement of the Case,426
The Wayside,426
Columbus,426
At the Grave of Walker,427
Westward Ho!,427
Crossing the Plains,428
Vaquero,428
By the Pacific Ocean,428
Twilight at the Heights,429
Dead in the Sierras,429
Peter Cooper,429
To Russia,429
The Voice of the Dove,429
Juanita,430
What was my Dream?,430
The General's Death,431
Blue Hills beneath the Haze,431
The Eagle's Fall,432
The Way to Heaven,432
The Song in the Dell,432
Robinson Crusoe,433
"Song for ""The Jaquerie"": Betrayal",433
"Song for ""The Jaquerie"": The Hound",434
Night and Day,434
The Stirrup-Cup,434
Song of the Chattahoochee,434
The Marshes of Glynn,435
The Mocking Bird,437
The Harlequin of Dreams,437
A Ballad of Trees and the Master,437
Sunrise,437
My Uninvited Guest,441
Departure,441
Donald,442
Winter Days,442
In Memory of General Grant,442
Faith's Vista,443
The Death of Grant,443
The Bride,443
Another Way,444
Montefiore,444
Presentiment,444
Creation,444
T. A. H.,444
The Royal Mummy to Bohemia,445
Wind and Wave,445
Albatross,446
The Cocoa-Tree,446
Vanquished,446
Under the Blue,447
Santa Barbara,447
The Wind-Swept Wheat,447
A Farewell,448
Faith Trembling,448
The Spinner,448
When the Most is Said,449
Poet and Lark,449
A Breath,449
Friend and Lover,449
God Keep You,449
The Thanksgiving in Boston Harbor,450
Carmen Bellicosum,451
"At Marshfield - From ""Webster: An Ode""",451
The Cowboy,452
All Quiet along the Potomac,454
Sambo's Right to be Kilt,454
The Band in the Pines,455
The Volunteer,455
Stonewall Jackson,455
Roll-Call,456
"""Picciola""",456
Reveille,457
Farragut,457
Driving Home the Cows,458
Negro Spirituals: In dat great gittin'-up Mornin',459
Negro Spirituals: Stars begin to fall,459
"Negro Spirituals: Roll, Jordan, Roll",459
"Negro Spirituals: Swing low, Sweet Chariot",459
Negro Spirituals: Bright Sparkles in de Churchyard,460
The Pyxidanthera,460
Yellow Jessamine,460
The Petrified Fern,461
