section,author,title,page
I. Early Years of the Nation,Philip Freneau,Eutaw Springs,3
I. Early Years of the Nation,Philip Freneau,"Epitaph - From ""The Fading Rose""",3
I. Early Years of the Nation,Philip Freneau,"Song of Thyrsis - In ""Female Frailty""",3
I. Early Years of the Nation,Philip Freneau,The Wild Honeysuckle,4
I. Early Years of the Nation,Philip Freneau,The Indian Burying-Ground,4
I. Early Years of the Nation,Philip Freneau,"Death's Epitaph - From ""The House of Night""",5
I. Early Years of the Nation,Philip Freneau,The Parting Glass,5
I. Early Years of the Nation,Philip Freneau,On the Ruins of a Country Inn,5
I. Early Years of the Nation,Philip Freneau,On a Travelling Speculator,6
I. Early Years of the Nation,Philip Freneau,The Scurrilous Scribe,6
I. Early Years of the Nation,Philip Freneau,To a Caty-Did,7
I. Early Years of the Nation,Philip Freneau,To a Honey Bee,7
I. Early Years of the Nation,Philip Freneau,Plato to Theon,8
I. Early Years of the Nation,Author Unfound,The Yankee Man-of-War,8
I. Early Years of the Nation,Timothy Dwight,The Smooth Divine,9
I. Early Years of the Nation,Timothy Dwight,Love to the Church,10
I. Early Years of the Nation,St. George Tucker,Days of my Youth,10
I. Early Years of the Nation,St. John Honeywood,Darby and Joan,11
I. Early Years of the Nation,Alexander Wilson,The Fisherman's Hymn,12
I. Early Years of the Nation,Alexander Wilson,The Blue-Bird,12
I. Early Years of the Nation,John Quincy Adams,To Sally,13
I. Early Years of the Nation,John Quincy Adams,The Lip and the Heart,13
I. Early Years of the Nation,Joseph Hopkinson,Hail Columbia,14
I. Early Years of the Nation,John Shaw,Song,14
I. Early Years of the Nation,John Shaw,Sleighing Song,15
I. Early Years of the Nation,Clement Clarke Moore,A Visit from St. Nicholas,15
I. Early Years of the Nation,Francis Scott Key,The Star-Spangled Banner,16
I. Early Years of the Nation,James Kirke Paulding,The Old Man's Carousal,17
I. Early Years of the Nation,Washington Allston,America to Great Britain,18
I. Early Years of the Nation,Washington Allston,Rosalie,18
I. Early Years of the Nation,Washington Allston,On the Late S. T. Coleridge,18
I. Early Years of the Nation,Thomas Hastings,The Latter Day,19
I. Early Years of the Nation,Thomas Hastings,In Sorrow,19
I. Early Years of the Nation,Thomas Hastings,Exhortation,19
I. Early Years of the Nation,Samuel Woodworth,The Bucket,20
I. Early Years of the Nation,Samuel Woodworth,Loves she like me?,20
I. Early Years of the Nation,Richard Henry Dana,The Little Beach-Bird,21
I. Early Years of the Nation,Richard Henry Dana,Immortality,21
I. Early Years of the Nation,Richard Henry Dana,The Chanting Cherubs - A Group by Greenough,22
I. Early Years of the Nation,Richard Henry Dana,The Moss supplicateth for the Poet,22
I. Early Years of the Nation,Sarah Josepha Hale,Alice Ray,23
I. Early Years of the Nation,Sarah Josepha Hale,The Watcher,24
I. Early Years of the Nation,James Abraham Hillhouse,"The Demon-Lover - From ""Hadad""",24
I. Early Years of the Nation,Richard Henry Wilde,Stanzas,27
I. Early Years of the Nation,Richard Henry Wilde,A Farewell to America,27
I. Early Years of the Nation,Richard Henry Wilde,To the Mocking-Bird,27
I. Early Years of the Nation - Additional Selections,William Martin Johnson,On Snow-Flakes melting on his Lady's Breast,28
I. Early Years of the Nation - Additional Selections,Daniel Webster,On the Death of my Son Charles,28
I. Early Years of the Nation - Additional Selections,Phoebe Hinsdale Brown,Private Devotion,28
I. Early Years of the Nation - Additional Selections,Andrews Norton,Hymn for the Dedication of a Church,29
I. Early Years of the Nation - Additional Selections,Emma Hart Willard,Rocked in the Cradle of the Deep,29
I. Early Years of the Nation - Additional Selections,Lavinia Stoddard,The Scout's Defiance,29
I. Early Years of the Nation - Additional Selections,Hannah Flagg Gould,A Name in the Sand,30
I. Early Years of the Nation - Additional Selections,James Fenimore Cooper,My Brigantine,30
II. First Lyrical Period - Division I,John Pierpont,The Fugitive Slave's Apostrophe to the North Star,33
II. First Lyrical Period - Division I,John Pierpont,Warren's Address to the American Soldiers,34
II. First Lyrical Period - Division I,John Pierpont,The Ballot,34
II. First Lyrical Period - Division I,John Pierpont,The Exile at Rest,34
II. First Lyrical Period - Division I,John Pierpont,The Pilgrim Fathers,35
II. First Lyrical Period - Division I,John Pierpont,My Child,35
II. First Lyrical Period - Division I,Fitz-Greene Halleck,Marco Bozzaris,36
II. First Lyrical Period - Division I,Fitz-Greene Halleck,On the Death of Joseph Rodman Drake,37
II. First Lyrical Period - Division I,Fitz-Greene Halleck,Alnwick Castle,37
II. First Lyrical Period - Division I,Fitz-Greene Halleck,Burns,39
II. First Lyrical Period - Division I,Fitz-Greene Halleck,Red Jacket,40
II. First Lyrical Period - Division I,Joseph Rodman Drake,"From ""The Culprit Fay"": The Fay's Sentence",42
II. First Lyrical Period - Division I,Joseph Rodman Drake,"From ""The Culprit Fay"": The First Quest",43
II. First Lyrical Period - Division I,Joseph Rodman Drake,"From ""The Culprit Fay"": The Second Quest",44
II. First Lyrical Period - Division I,Joseph Rodman Drake,"From ""The Culprit Fay"": Elfin Song",45
II. First Lyrical Period - Division I,Joseph Rodman Drake,The American Flag,46
II. First Lyrical Period - Division I,Joseph Rodman Drake,"""The Croakers"": The National Paintings - Colonel Trumbull's ""The Declaration of Independence""",46
II. First Lyrical Period - Division I,Joseph Rodman Drake,"""The Croakers"": The Man who frets at Worldly Strife",47
II. First Lyrical Period - Division I,Halleck and Drake,"""The Croakers"": Ode to Fortune",47
II. First Lyrical Period - Division I,Lydia Huntley Sigourney,Columbus,47
II. First Lyrical Period - Division I,Lydia Huntley Sigourney,The Indian's Welcome to the Pilgrim Fathers,48
II. First Lyrical Period - Division I,Lydia Huntley Sigourney,The Return of Napoleon from St. Helena,48
II. First Lyrical Period - Division I,Charles Sprague,"From ""Curiosity"": The News",50
II. First Lyrical Period - Division I,Charles Sprague,"From ""Curiosity"": Fiction",50
II. First Lyrical Period - Division I,Charles Sprague,The Winged Worshippers,51
II. First Lyrical Period - Division I,Charles Sprague,The Brothers,51
II. First Lyrical Period - Division I,John Neal,Men of the North,52
II. First Lyrical Period - Division I,John Neal,Music of the Night,52
II. First Lyrical Period - Division I,William Cullen Bryant,Thanatopsis,53
II. First Lyrical Period - Division I,William Cullen Bryant,To a Waterfowl,54
II. First Lyrical Period - Division I,William Cullen Bryant,"""O Fairest of the Rural Maids""",54
II. First Lyrical Period - Division I,William Cullen Bryant,A Forest Hymn,55
II. First Lyrical Period - Division I,William Cullen Bryant,June,56
II. First Lyrical Period - Division I,William Cullen Bryant,The Death of the Flowers,57
II. First Lyrical Period - Division I,William Cullen Bryant,The Past,57
II. First Lyrical Period - Division I,William Cullen Bryant,The Evening Wind,58
II. First Lyrical Period - Division I,William Cullen Bryant,To the Fringed Gentian,59
II. First Lyrical Period - Division I,William Cullen Bryant,The Hunter of the Prairies,59
II. First Lyrical Period - Division I,William Cullen Bryant,The Battle-Field,60
II. First Lyrical Period - Division I,William Cullen Bryant,"From ""An Evening Revery""",60
II. First Lyrical Period - Division I,William Cullen Bryant,The Antiquity of Freedom,61
II. First Lyrical Period - Division I,William Cullen Bryant,America,62
II. First Lyrical Period - Division I,William Cullen Bryant,The Planting of the Apple-Tree,62
II. First Lyrical Period - Division I,William Cullen Bryant,"""The May Sun sheds an Amber Light""",63
II. First Lyrical Period - Division I,William Cullen Bryant,The Conqueror's Grave,63
II. First Lyrical Period - Division I,William Cullen Bryant,The Poet,64
II. First Lyrical Period - Division I,William Cullen Bryant,My Autumn Walk,65
II. First Lyrical Period - Division I,William Cullen Bryant,The Death of Slavery,66
II. First Lyrical Period - Division I,William Cullen Bryant,In Memory of John Lothrop Motley,67
II. First Lyrical Period - Division I,William Cullen Bryant,The Flood of Years,67
II. First Lyrical Period - Division I,James Gates Percival,Elegiac,70
II. First Lyrical Period - Division I,James Gates Percival,The Coral Grove,70
II. First Lyrical Period - Division I,James Gates Percival,New England,70
II. First Lyrical Period - Division I,Maria Gowen Brooks,"From ""Zophiel"": Palace of the Gnomes",71
II. First Lyrical Period - Division I,Maria Gowen Brooks,"From ""Zophiel"": The Respite",72
II. First Lyrical Period - Division I,Maria Gowen Brooks,Song of Egla,73
II. First Lyrical Period - Division I,Maria Gowen Brooks,Farewell to Cuba,73
II. First Lyrical Period - Division I,William Augustus Muhlenberg,I would not live Alway,74
II. First Lyrical Period - Division I,William Augustus Muhlenberg,Heaven's Magnificence,75
II. First Lyrical Period - Division I,John Gardiner Calkins Brainard,"Mr. Merry's Lament for ""Long Tom""",75
II. First Lyrical Period - Division I,John Gardiner Calkins Brainard,The Deep,75
II. First Lyrical Period - Division I,John Gardiner Calkins Brainard,Epithalamium,76
II. First Lyrical Period - Division I,George Washington Doane,Evening,76
II. First Lyrical Period - Division I,George Washington Doane,Robin Redbreast,76
II. First Lyrical Period - Division I,William Bourne Oliver Peabody,Lament of Anastasius,76
II. First Lyrical Period - Division I,Amos Bronson Alcott,Channing,77
II. First Lyrical Period - Division I,Amos Bronson Alcott,Emerson,77
II. First Lyrical Period - Division I,Amos Bronson Alcott,Margaret Fuller,78
II. First Lyrical Period - Division I,Amos Bronson Alcott,Thoreau,78
II. First Lyrical Period - Division I,Amos Bronson Alcott,Hawthorne,78
II. First Lyrical Period - Division I,Amos Bronson Alcott,Bartol,78
II. First Lyrical Period - Division I,Amos Bronson Alcott,Wendell Phillips,79
II. First Lyrical Period - Division I,Amos Bronson Alcott,Garrison,79
II. First Lyrical Period - Division I,Theodore Dwight Woolsey,The Eclipse of Faith,79
II. First Lyrical Period - Division I,Albert Gorton Greene,The Baron's Last Banquet,80
II. First Lyrical Period - Division I,Edward Coate Pinkney,A Health,81
II. First Lyrical Period - Division I,Edward Coate Pinkney,Song,81
II. First Lyrical Period - Division I,Edward Coate Pinkney,A Serenade,82
II. First Lyrical Period - Division I,Edward Coate Pinkney,Votive Song,82
II. First Lyrical Period - Division I,George Pope Morris,"Woodman, spare that Tree!",82
II. First Lyrical Period - Division I,George Pope Morris,We were Boys together,82
II. First Lyrical Period - Division I,George Pope Morris,Near the Lake,83
II. First Lyrical Period - Division I,George Pope Morris,My Mother's Bible,83
II. First Lyrical Period - Division I,George Pope Morris,Where Hudson's Wave,83
II. First Lyrical Period - Division I,George Pope Morris,Jeannie Marsh,84
II. First Lyrical Period - Division I,George Denison Prentice,Memories,84
II. First Lyrical Period - Division I,George Denison Prentice,New England,84
II. First Lyrical Period - Division I - Additional Selections,John Howard Payne,"Home, Sweet Home!",85
II. First Lyrical Period - Division I - Additional Selections,Margaret Mercer,Exhortation to Prayer,85
II. First Lyrical Period - Division I - Additional Selections,Augustus Lucas Hillhouse,Forgiveness of Sins a Joy unknown to Angels,86
II. First Lyrical Period - Division I - Additional Selections,Nathaniel Langdon Frothingham,The Crossed Swords,86
II. First Lyrical Period - Division I - Additional Selections,Samuel Griswold Goodrich,Lake Superior,87
II. First Lyrical Period - Division I - Additional Selections,William Bingham Tappan,The Hour of Peaceful Rest,87
II. First Lyrical Period - Division I - Additional Selections,George Hill,Song of the Elfin Steersman,88
II. First Lyrical Period - Division I - Additional Selections,Mirabeau Bonaparte Lamar,The Daughter of Mendoza,88
II. First Lyrical Period - Division I - Additional Selections,Robert Charles Sands,The Green Isle of Lovers,89
II. First Lyrical Period - Division I - Additional Selections,Grenville Mellen,"""The Lonely Bugle grieves""",89
II. First Lyrical Period - Division I - Additional Selections,Lydia Maria Child,The World I am passing through,89
II. First Lyrical Period - Division I - Additional Selections,William Henry Furness,Evening Hymn,90
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Each and All,90
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Problem,91
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Rhodora,92
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Humble-Bee,92
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Snow-Storm,93
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Forerunners,93
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Brahma,93
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Forbearance,94
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Character,94
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Merlin,94
II. First Lyrical Period - Division II,Ralph Waldo Emerson,"From ""Woodnotes"": ""The Heart of all the Scene""",95
II. First Lyrical Period - Division II,Ralph Waldo Emerson,"From ""Woodnotes"": ""The Undersong""",95
II. First Lyrical Period - Division II,Ralph Waldo Emerson,"From ""Woodnotes"": ""The Mighty Heart""",96
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Days,96
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Earth,97
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Waves,97
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Terminus,97
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Threnody,97
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Concord Hymn,100
II. First Lyrical Period - Division II,Ralph Waldo Emerson,Ode,100
II. First Lyrical Period - Division II,Ralph Waldo Emerson,The Test,101
II. First Lyrical Period - Division II,Sarah Helen Whitman,Sonnets (from the series relating to Edgar Allan Poe),101
II. First Lyrical Period - Division II,William Lloyd Garrison,Liberty for All,102
II. First Lyrical Period - Division II,William Lloyd Garrison,Freedom for the Mind,102
II. First Lyrical Period - Division II,Nathaniel Parker Willis,Parrhasius,102
II. First Lyrical Period - Division II,Nathaniel Parker Willis,Unseen Spirits,105
II. First Lyrical Period - Division II,Nathaniel Parker Willis,The Torn Hat,105
II. First Lyrical Period - Division II,Nathaniel Parker Willis,To Giulia Grisi,106
II. First Lyrical Period - Division II,William Gilmore Simms,The Swamp Fox,106
II. First Lyrical Period - Division II,William Gilmore Simms,The Lost Pleiad,107
II. First Lyrical Period - Division II,William Gilmore Simms,The Decay of a People,107
II. First Lyrical Period - Division II,William Gilmore Simms,Song in March,107
II. First Lyrical Period - Division II,Ralph Hoyt,Old,108
II. First Lyrical Period - Division II,Charles Fenno Hoffman,Sparkling and Bright,110
II. First Lyrical Period - Division II,Charles Fenno Hoffman,Monterey,110
II. First Lyrical Period - Division II,Charles Fenno Hoffman,The Mint Julep,111
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Hymn to the Night,111
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,A Psalm of Life,112
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Skeleton in Armor,112
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Village Blacksmith,114
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Endymion,114
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"Serenade from ""The Spanish Student""",115
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Arrow and the Song,115
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Dante,115
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Curfew,116
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"From ""Evangeline"": Evangeline in Acadie",116
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"From ""Evangeline"": On the Atchafalaya",117
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"From ""Evangeline"": The Finding of Gabriel",118
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"From ""The Building of the Ship"": The Republic",119
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"From ""The Song of Hiawatha"": The Death of Minnehaha",119
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Warden of the Cinque Ports,120
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,My Lost Youth,121
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Children's Hour,122
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Cumberland,123
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,The Bells of Lynn,123
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Chaucer,124
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Milton,124
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Nature,124
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Wapentake - To Alfred Tennyson,124
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,A Ballad of the French Fleet,125
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,Jugurtha,125
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,"The Tide rises, the Tide falls",125
II. First Lyrical Period - Division II,Henry Wadsworth Longfellow,My Books,126
II. First Lyrical Period - Division II,Elizabeth Oakes Smith,"From ""The Sinless Child""",126
II. First Lyrical Period - Division II,Elizabeth Oakes Smith,The Drowned Mariner,127
II. First Lyrical Period - Division II,John Greenleaf Whittier,Proem,128
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Farewell,128
II. First Lyrical Period - Division II,John Greenleaf Whittier,Ichabod,129
II. First Lyrical Period - Division II,John Greenleaf Whittier,Astraea,130
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Barefoot Boy,130
II. First Lyrical Period - Division II,John Greenleaf Whittier,Maud Muller,131
II. First Lyrical Period - Division II,John Greenleaf Whittier,Skipper Ireson's Ride,133
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Swan Song of Parson Avery,134
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Vanishers,135
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Eternal Goodness,135
II. First Lyrical Period - Division II,John Greenleaf Whittier,"From ""Snow-Bound"": The World Transformed",137
II. First Lyrical Period - Division II,John Greenleaf Whittier,"From ""Snow-Bound"": Firelight",137
II. First Lyrical Period - Division II,John Greenleaf Whittier,"From ""Snow-Bound"": Mother",137
II. First Lyrical Period - Division II,John Greenleaf Whittier,"From ""Snow-Bound"": Sister",138
II. First Lyrical Period - Division II,John Greenleaf Whittier,"From ""Snow-Bound"": Prophetess",138
II. First Lyrical Period - Division II,John Greenleaf Whittier,In School-Days,139
II. First Lyrical Period - Division II,John Greenleaf Whittier,The Two Angels,139
II. First Lyrical Period - Division II,John Greenleaf Whittier,Centennial Hymn,140
II. First Lyrical Period - Division II,John Greenleaf Whittier,"In the ""Old South""",140
II. First Lyrical Period - Division II,John Greenleaf Whittier,Mulford,141
II. First Lyrical Period - Division II,John Greenleaf Whittier,An Autograph,141
II. First Lyrical Period - Division II,William Davis Gallagher,The Cardinal Bird,142
II. First Lyrical Period - Division II,William Davis Gallagher,Autumn in the West,143
II. First Lyrical Period - Division II,Edgar Allan Poe,To Helen,144
II. First Lyrical Period - Division II,Edgar Allan Poe,The Raven,144
II. First Lyrical Period - Division II,Edgar Allan Poe,The Sleeper,146
II. First Lyrical Period - Division II,Edgar Allan Poe,Lenore,147
II. First Lyrical Period - Division II,Edgar Allan Poe,To One in Paradise,147
II. First Lyrical Period - Division II,Edgar Allan Poe,The City in the Sea,147
II. First Lyrical Period - Division II,Edgar Allan Poe,Israfel,148
II. First Lyrical Period - Division II,Edgar Allan Poe,The Haunted Palace,149
II. First Lyrical Period - Division II,Edgar Allan Poe,The Conqueror Worm,149
II. First Lyrical Period - Division II,Edgar Allan Poe,The Bells,150
II. First Lyrical Period - Division II,Edgar Allan Poe,Annabel Lee,151
II. First Lyrical Period - Division II,Edgar Allan Poe,Ulalume,151
II. First Lyrical Period - Division II,Samuel Francis Smith,America,153
II. First Lyrical Period - Division II,Ray Palmer,Faith,153
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Old Ironsides,153
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Last Leaf,154
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Height of the Ridiculous,154
II. First Lyrical Period - Division II,Oliver Wendell Holmes,La Grisette,155
II. First Lyrical Period - Division II,Oliver Wendell Holmes,On Lending a Punch-Bowl,155
II. First Lyrical Period - Division II,Oliver Wendell Holmes,After a Lecture on Keats,156
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Voiceless,157
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Living Temple,157
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Chambered Nautilus,158
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Bill and Joe,158
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Under the Violets,159
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Hymn of Trust,159
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Epilogue to the Breakfast-Table Series,159
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Dorothy Q.,160
II. First Lyrical Period - Division II,Oliver Wendell Holmes,Cacoethes Scribendi,161
II. First Lyrical Period - Division II,Oliver Wendell Holmes,The Strong Heroic Line,161
II. First Lyrical Period - Division II,Oliver Wendell Holmes,"From ""The Iron Gate""",162
II. First Lyrical Period - Division II,Frances Anne Kemble,Lament of a Mocking-Bird,163
II. First Lyrical Period - Division II,Albert Pike,To the Mocking-Bird,163
II. First Lyrical Period - Division II,Albert Pike,The Widowed Heart,164
II. First Lyrical Period - Division II,Albert Pike,Dixie,165
II. First Lyrical Period - Division II,Theodore Parker,The Higher Good,166
II. First Lyrical Period - Division II,Theodore Parker,Jesus,166
II. First Lyrical Period - Division II,Elizabeth Clementine Kinney,To the Boy who goes Singing,167
II. First Lyrical Period - Division II,Elizabeth Clementine Kinney,The Quakeress Bride,167
II. First Lyrical Period - Division II,Elizabeth Clementine Kinney,The Blind Psalmist,168
II. First Lyrical Period - Division II,Elizabeth Clementine Kinney,A Dream,168
II. First Lyrical Period - Division II,Elizabeth Clementine Kinney,Moonlight in Italy,169
II. First Lyrical Period - Division II,Frances Sargent Osgood,To Sleep,169
II. First Lyrical Period - Division II,Frances Sargent Osgood,A Dancing Girl,169
II. First Lyrical Period - Division II,Frances Sargent Osgood,On Sivori's Violin,170
II. First Lyrical Period - Division II,Frances Sargent Osgood,Calumny,170
II. First Lyrical Period - Division II,Frances Sargent Osgood,Song,170
II. First Lyrical Period - Division II,Frances Sargent Osgood,On a Dead Poet,170
II. First Lyrical Period - Division II,Alfred Billings Street,The Settler,171
II. First Lyrical Period - Division II,Alfred Billings Street,The Loon,171
II. First Lyrical Period - Division II,Christopher Pearse Cranch,The Bobolinks,172
II. First Lyrical Period - Division II,Christopher Pearse Cranch,Stanza from an early Poem,173
II. First Lyrical Period - Division II,Christopher Pearse Cranch,The Pines and the Sea,173
II. First Lyrical Period - Division II,Jones Very,The Idler,173
II. First Lyrical Period - Division II,Jones Very,The New World,174
II. First Lyrical Period - Division II,Jones Very,The Old Road,174
II. First Lyrical Period - Division II,Jones Very,Yourself,174
II. First Lyrical Period - Division II,Jones Very,The Dead,174
II. First Lyrical Period - Division II,Jones Very,The Gifts of God,175
II. First Lyrical Period - Division II,Henry Beck Hirst,The Fringilla Melodia,175
II. First Lyrical Period - Division II,Henry Beck Hirst,The Funeral of Time,176
II. First Lyrical Period - Division II,Epes Sargent,A Life on the Ocean Wave,177
II. First Lyrical Period - Division II,Epes Sargent,The Heart's Summer,177
II. First Lyrical Period - Division II,Robert Traill Spence Lowell,"The Brave Old Ship, the Orient",178
II. First Lyrical Period - Division II,Robert Traill Spence Lowell,The After-Comers,180
II. First Lyrical Period - Division II,Henry Peterson,"From an ""Ode for Decoration Day""",180
II. First Lyrical Period - Division II,Henry Peterson,Rinaldo,181
II. First Lyrical Period - Division II,James Thomas Fields,With Wordsworth at Rydal,181
II. First Lyrical Period - Division II,James Thomas Fields,Common Sense,182
II. First Lyrical Period - Division II,Henry David Thoreau,Inspiration,182
II. First Lyrical Period - Division II,Henry David Thoreau,The Fisher's Boy,182
II. First Lyrical Period - Division II,Henry David Thoreau,Smoke,183
II. First Lyrical Period - Division II,Henry David Thoreau,Mist,183
II. First Lyrical Period - Division II,Emily Chubbuck Judson,Watching,183
II. First Lyrical Period - Division II,Emily Chubbuck Judson,My Bird,184
II. First Lyrical Period - Division II,Arthur Cleveland Coxe,Iona - A Memorial of St. Columba,184
II. First Lyrical Period - Division II,William Ellery Channing,"From ""A Poet's Hope""",185
II. First Lyrical Period - Division II,William Ellery Channing,Hymn of the Earth,186
II. First Lyrical Period - Division II,William Ellery Channing,The Barren Moors,186
II. First Lyrical Period - Division II,William Ellery Channing,Tears in Spring - Lament for Thoreau,187
II. First Lyrical Period - Division II,William Ellery Channing,Edith,187
II. First Lyrical Period - Division II,Mary Elizabeth (Hewitt) Stebbins,The Sunflower to the Sun,188
II. First Lyrical Period - Division II,Mary Elizabeth (Hewitt) Stebbins,Harold the Valiant,188
II. First Lyrical Period - Division II - Additional Selections,George Lunt,Requiem,189
II. First Lyrical Period - Division II - Additional Selections,Isaac McLellan,New England's Dead,190
II. First Lyrical Period - Division II - Additional Selections,Henry Theodore Tuckerman,Washington's Statue,190
II. First Lyrical Period - Division II - Additional Selections,Nathaniel Hawthorne,The Star of Calvary,191
II. First Lyrical Period - Division II - Additional Selections,William Croswell,The Clouds,192
II. First Lyrical Period - Division II - Additional Selections,Nathaniel Ingersoll Bowditch,A World Beyond,192
II. First Lyrical Period - Division II - Additional Selections,George Washington Bethune,It is not Death to die,192
II. First Lyrical Period - Division II - Additional Selections,Frederic Henry Hedge,Paraphrase of Luther's Hymn,192
II. First Lyrical Period - Division II - Additional Selections,Abraham Coles,Dies Irae,193
II. First Lyrical Period - Division II - Additional Selections,Elizabeth Lloyd Howell,Milton's Prayer of Patience,193
II. First Lyrical Period - Division II - Additional Selections,Edmund Hamilton Sears,The Angels' Song,194
II. First Lyrical Period - Division II - Additional Selections,Harriet Elizabeth Beecher Stowe,The Other World,194
II. First Lyrical Period - Division II - Additional Selections,Rufus Dawes,Love Unchangeable,195
II. First Lyrical Period - Division II - Additional Selections,Emma Catharine Embury,Love Unsought,195
II. First Lyrical Period - Division II - Additional Selections,Henry William Herbert,Come Back,196
II. First Lyrical Period - Division II - Additional Selections,Frederick William Thomas,Song,196
II. First Lyrical Period - Division II - Additional Selections,Willis Gaylord Clark,A Remembrance,197
II. First Lyrical Period - Division II - Additional Selections,James Aldrich,A Death-Bed,197
II. First Lyrical Period - Division II - Additional Selections,Charles Gamage Eastman,Dirge,197
II. First Lyrical Period - Division II - Additional Selections,Philip Pendleton Cooke,Florence Vane,197
II. First Lyrical Period - Division II - Additional Selections,Anna Peyre Dinnies,The Wife,198
II. First Lyrical Period - Division II - Additional Selections,George Washington Dewey,Blind Louise,198
II. First Lyrical Period - Division II - Additional Selections,Edward Young,Under the Violets,198
II. First Lyrical Period - Division II - Additional Selections,Sarah Roberts Boyle,The Voice of the Grass,199
II. First Lyrical Period - Division II - Additional Selections,Robert Hinckley Messinger,A Winter Wish,199
II. First Lyrical Period - Division II - Additional Selections,Samuel Ward,A Proem,200
II. First Lyrical Period - Division II - Additional Selections,John Osborne Sargent,Horace,200
II. First Lyrical Period - Division II - Additional Selections,Francis Alexander Durivage,Chez Brebant,201
II. First Lyrical Period - Division II - Additional Selections,Cornelius Mathews,The Poet,201
II. First Lyrical Period - Division III,James Russell Lowell,"From ""Rhoecus""",202
II. First Lyrical Period - Division III,James Russell Lowell,A Stanza on Freedom,203
II. First Lyrical Period - Division III,James Russell Lowell,Hebe,204
II. First Lyrical Period - Division III,James Russell Lowell,She came and went,204
II. First Lyrical Period - Division III,James Russell Lowell,"From ""The Vision of Sir Launfal""",204
II. First Lyrical Period - Division III,James Russell Lowell,"From ""A Fable for Critics"": To his Countrymen",205
II. First Lyrical Period - Division III,James Russell Lowell,"From ""A Fable for Critics"": On Himself",205
II. First Lyrical Period - Division III,James Russell Lowell,"From ""The Biglow Papers"": What Mr. Robinson thinks",205
II. First Lyrical Period - Division III,James Russell Lowell,"From ""The Biglow Papers"": The Candidate's Letter",206
II. First Lyrical Period - Division III,James Russell Lowell,"From ""The Biglow Papers"": The Courtin'",207
