title,page
"Thomas Love Peacock. b. 1785, d. 1866",684-687
"Caroline Southey. b. 1787, d. 1854",687-688
"George Gordon Byron, Lord Byron. b. 1788, d. 1824",688-694
"Sir Aubrey de Vere. b. 1788, d. 1846",694-695
"Charles Wolfe. b. 1791, d. 1823",695-697
"Percy Bysshe Shelley. b. 1792, d. 1822",697-717
"Hew Ainslie. b. 1792, d. 1878",717
"John Keble. b. 1792, d. 1866",718-720
"John Clare. b. 1793, d. 1864",720
"Felicia Dorothea Hemans. b. 1793, d. 1835",721
"John Keats. b. 1795, d. 1821",721-744
"Jeremiah Joseph Callanan. b. 1795, d. 1839",745
"William Sidney Walker. b. 1795, d. 1846",746
"George Darley. b. 1795, d. 1846",746-749
"Hartley Coleridge. b. 1796, d. 1849",749-751
"Thomas Hood. b. 1798, d. 1845",752-762
"William Thom. b. 1798, d. 1848",762-764
"Sir Henry Taylor. b. 1800, d. 1886",764
"Thomas Babington Macaulay, Lord Macaulay. b. 1800, d. 1859",765
"William Barnes. b. 1801, d. 1886",765-767
"Winthrop Mackworth Praed. b. 1802, d. 1839",767-768
"Sara Coleridge. b. 1802, d. 1850",768-770
"Gerald Griffin. b. 1803, d. 1840",770-772
"James Clarence Mangan. b. 1803, d. 1849",772-776
"Thomas Lovell Beddoes. b. 1803, d. 1849",777-778
"Ralph Waldo Emerson. b. 1803, d. 1882",779-785
"Richard Henry Horne. b. 1803, d. 1884",785-786
"Robert Stephen Hawker. b. 1804, d. 1875",786-787
"Thomas Wade. b. 1805, d. 1875",787
"Francis Mahony. b. 1805, d. 1866",788-790
"Elizabeth Barrett Browning. b. 1806, d. 1861",790-800
"Frederick Tennyson. b. 1807, d. 1898",800
"Henry Wadsworth Longfellow. b. 1807, d. 1882",801-803
"John Greenleaf Whittier. b. 1807, d. 1892",804
"Helen Selina, Lady Dufferin. b. 1807, d. 1867",805-807
"Caroline Elizabeth Sarah Norton. b. 1808, d. 1876",807-808
"Charles Tennyson Turner. b. 1808, d. 1879",808
"Edgar Allan Poe. b. 1809, d. 1849",809-814
"Edward Fitzgerald. b. 1809, d. 1883",814-818
"Alfred Tennyson, Lord Tennyson. b. 1809, d. 1892",819-847
"Richard Monckton Milnes, Lord Houghton. b. 1809, d. 1885",848
"Henry Alford. b. 1810, d. 1871",849
"Sir Samuel Ferguson. b. 1810, d. 1886",849-851
"Robert Browning. b. 1812, d. 1889",852-867
"William Bell Scott. b. 1812, d. 1890",867-872
"Aubrey De Vere. b. 1814, d. 1902",872-873
George Fox. b. 1815,874
"Emily Bronte. b. 1818, d. 1848",875-879
"Charles Kingsley. b. 1819, d. 1875",879-880
"Arthur Hugh Clough. b. 1819, d. 1861",880-881
"Walt Whitman. b. 1819, d. 1892",881-882
"John Ruskin. b. 1819, d. 1900",882
"Ebenezer Jones. b. 1820, d. 1860",883
"Frederick Locker-Lampson. b. 1821, d. 1895",884
"Matthew Arnold. b. 1822, d. 1888",885-903
"William Brighty Rands. b. 1823, d. 1880",904-905
"William Philpot. b. 1823, d. 1880",906-907
"William (Johnson) Cory. b. 1823, d. 1892",907-908
"Coventry Patmore. b. 1823, d. 1896",908-913
"Sydney Dobell. b. 1824, d. 1874",913-921
"William Allingham. b. 1824, d. 1889",921-923
"George MacDonald. b. 1824, d. 1905",923
"Dante Gabriel Rossetti. b. 1828, d. 1882",923-928
"George Meredith. b. 1828, d. 1909",929-942
"Alexander Smith. b. 1829, d. 1867",942-945
"Christina Georgina Rossetti. b. 1830, d. 1894",946-954
"Thomas Edward Brown. b. 1830, d. 1897",955-956
"Edward Robert Bulwer Lytton, Earl of Lytton. b. 1831, d. 1892",957-962
"James Thomson. b. 1834, d. 1882",963-964
"William Morris. b. 1834, d. 1896",965-967
"Roden Berkeley Wriothesley Noel. b. 1834, d. 1894",967-969
"Thomas Ashe. b. 1836, d. 1889",969-970
"Theodore Watts-Dunton. b. 1836, d. 1914",970-972
"Algernon Charles Swinburne. b. 1837, d. 1909",972-991
William Dean Howells. b. 1837,991
"Bret Harte. b. 1839, d. 1902",992
"John Todhunter. b. 1839, d. 1916",993-995
Wilfrid Scawen Blunt. b. 1840,995-1002
Henry Austin Dobson. b. 1840,1002-1004
"Henry Clarence Kendall. b. 1841, d. 1882",1004-1006
"Arthur William Edgar O'Shaughnessy. b. 1844, d. 1881",1006-1010
"John Boyle O'Reilly. b. 1844, d. 1890",1010
Robert Bridges. b. 1844,1011-1018
"Andrew Lang. b. 1844, d. 1912",1018
"William Ernest Henley. b. 1849, d. 1903",1019-1022
Edmund Gosse. b. 1849,1022-1023
"Robert Louis Stevenson. b. 1850, d. 1894",1023-1025
T. W. Rolleston. b. 1857,1025-1026
"John Davidson. b. 1857, d. 1909",1026-1028
William Watson. b. 1858,1028-1031
Henry Charles Beeching. b. 1859,1031-1033
Bliss Carman. b. 1861,1033-1034
Douglas Hyde. b. 1861,1034-1035
Arthur Christopher Benson. b. 1862,1035-1036
Henry Newbolt. b. 1862,1036-1037
Gilbert Parker. b. 1862,1038
William Butler Yeats. b. 1865,1038-1039
Rudyard Kipling. b. 1865,1040-1045
Richard Le Gallienne. b. 1866,1045-1047
Laurence Binyon. b. 1869,1047
'A. E.' (George William Russell),1048-1049
T. Sturge Moore. b. 1870,1049
"Francis Thompson. b. 1859, d. 1907",1050-1052
"Henry Cust. b. 1861, d. 1917",1053
Katharine Tynan Hinkson. b. 1861,1053-1054
Frances Bannerman,1054-1055
Alice Meynell. b. 1850,1055-1056
Dora Sigerson. d. 1918,1056-1057
Margaret L. Woods. b. 1856,1057
Anonymous,1058
