title,page_number
Jesse James,498
Eternal Masculine,500
Inscription for a Mirror,501
Sagacity,503
Sunday Evening in the Common,504
Triumph of Love,504
Nirvana,505
Love and Liberation,505
Earth,506
This Quiet Dust,508
Trees,509
Martin,510
They Went Forth to Battle,511
He Whom a Dream Hath Possessed,512
Old Christmas Morning,514
Lonesome Water,515
Symbols,517
Old Ships,517
But the Son of Man,518
Unshadowed Pool,519
The Interpreter,520
Little Things,520
Dilemma,520
Wild Plum,521
A Talisman,522
That Harp You Play So Well,523
To a Steam Roller,523
England,524
The Fish,525
Compensation,530
Age in Prospect,530
Ante Mortem,531
Post Mortem,531
Noon,532
Clouds of Evening,533
To the Stone-cutters,533
Gale in April,533
Credo,534
Promise of Peace,535
Apology for Bad Dreams,535
The Eagle and the Mole,540
Madman's Song,541
Sanctuary,541
Velvet Shoes,542
Escape,542
Golden Bough,543
August,543
Sonnet,544
Nebuchadnezzar,544
Let No Charitable Hope,544
Confession of Faith,545
Desolation Is a Delicate Thing,545
Peter and John,546
Birthday Sonnet,548
O Virtuous Light,549
The Pebble,549
Hymn to Earth,551
Earth and Air,553
Upper Air,555
La Figlia Che Piange,559
The Love Song of J. Alfred Prufrock,560
Morning at the Window,564
Prelude,564
Portrait of a Lady,565
Conversation Galante,568
Gerontion,569
Journey of the Magi,571
Bells for John Whitesides' Daughter,574
Spiel of the Three Mountebanks,575
Here Lies a Lady,577
First Travels of Max,577
Lady Lost,579
Antique Harvesters,580
Piazza Piece,581
Captain Carpenter,582
Blue Girls,584
Old Man Pondered,584
Iron-wind Dances,586
Feud,587
To a Wild Goose Over Decoys,588
Dead Men Tell No Tales,588
Song,589
Experience,590
Things,590
I Have a Rendezvous with Death,592
The Builder,593
Creeds,593
Bread and Music,596
Miracles,596
Morning Song from Senlin,597
The Puppet Dreams,599
The Room,600
And in the Hanging Gardens—,601
Portrait of a Girl,603
The Road,603
Annihilation,605
The Quarrel,606
When the Tree Bares,607
Prelude,608
Cloister,609
At a Concert of Music,610
Tetelestai,611
Whim Alley,615
Gargantuana,616
The Pond,618
Monsieur Pipereau,619
If We Must Die,631
Quickening,632
To a Post-office Inkwell,632
Renascence,635
The Pear Tree,640
God's World,641
Wild Swans,641
The Poet and His Book,641
Justice Denied in Massachusetts,645
Euclid Alone Has Looked on Beauty Bare,646
Departure,646
I Shall Go Back,647
Elegy,647
What Lips My Lips Have Kissed,649
Pity Me Not,649
Sonnet to Gath,649
The Cameo,650
On Hearing a Symphony of Beethoven,650
Autumn,652
The Painted Hills of Arizona,652
Poet to His Love,654
Old Age,654
Death,654
Hill-side Tree,655
Factory Girl,655
Advice to a Blue-bird,655
Ars Poetica,657
Prologue,658
In My Thirtieth Year,659
Memorial Rain,660
Weather,661
Immortal Autumn,662
"You, Andrew Marvell",663
The End of the World,664
From a Chinese Vase,665
Love Song from New England,665
Actual Willow,666
Harvest Dust,666
The Fanatic,667
Ghost,668
Two Ways,669
Announcement,670
The Old Mare,671
Daniel Webster's Horses,672
The Circus-postered Barn,673
St. Eval,673
Pretty Futility,674
On a Night of Snow,674
A Lady Comes to an Inn,675
Cross Section of a Landscape,677
Spoken at a Castle Gate,677
Fire on Belmont Street,678
Apple and Mole,680
Before Winter,681
Since Christmas,684
At the Symphony,685
When in the Crowd I Suddenly Behold,686
I Ride the Great Black Horses of My Heart,686
Because My Grief Seems Quiet and Apart,686
Former Barn Lot,688
Immortal,688
The Pulse,689
The Distant Runners,690
The Escape,691
Dead Morning,692
Geese in Running Water,693
Winter Among the Days,693
"Proud, Unhoped-for Light",694
Song of the Son,695
Ballad of a Strange Thing,696
About Women,703
With Child,704
The Enamel Girl,705
Solar Myth,706
Doomsday Morning,708
On the Properties of Nature for Healing,709
Dilemma of the Elm,710
Marjorie Meeker,710
Where My Step Falters,711
Memorial Sonnet,712
The Death of a Child,712
In a Museum,713
A City Park,714
Ghetto Twilight,714
Scrub Oak,715
Pretty Polly,717
"Poets, Farewell!",718
Infection,719
As One Who Bears Beneath His Neighbour's Roof,720
Pastoral,721
Prothalamion,721
A Quiet Street After Rain,725
Pruning Vines,726
Autumn Bird,727
When God Lets My Body Be,729
Sunset,729
Impression—IV,730
La Guerre,731
Chanson Innocent,732
Always Before Your Voice,733
Song,735
Medusa,736
Women,737
Decoration,737
Statue and Birds,738
The Alchemist,738
Simple Autumnal,739
Cassandra,739
"Come, Break with Time—",739
Interval,741
Ulysses in Autumn,742
Dawn at the Rain's Edge,743
Touch,743
Elegy,744
The Spider,744
Clinch Calkins,745
Tu Ne Quaesieris,746
Rain After a Vaudeville Show,750
Winged Man,750
The Ballad of William Sycamore,752
Love Came By from the Riversmoke,754
Song of the Riders,756
The White Rooster,757
Fable,758
Blue Juniata,760
The Farm Died,761
Mine No. 6,761
Winter: Two Sonnets,762
Sudden Storm,763
Charity,764
Nocturne,764
City Autumn,764
The Poet Resolves to Become a Member of Society,765
Homecoming,766
Only the Self-confident,766
April Mortality,768
Home-coming,769
Thought's End,769
Death and the Lady,770
Twilit Revelation,771
Ghostly Tree,772
The Horn,772
