title,page_number
The Donkey,281
The Praise of Dust,281
Wine and Water,281
The Sword of Surprise,282
The House of Christmas,282
Gordon Bottomley (1874- ),283
The End of the World,284
Dawn,285
Eager Spring,285
Eagle Song,285
A. E. Coppard (1878- ),286
"Stay, O Stay",286
Winter Field,286
Betty Perrin,286
The Sluggard,287
The Prodigal Son,288
Thomas MacDonagh (1878-1916),289
Of a Poet-Patriot,289
Wishes for My Son,289
Seumas O'Sullivan (1878- ),290
Praise,290
Credo,290
Edward Thomas (1878-1917),291
Tall Nettles,292
If I Should Ever by Chance,292
Cock-Crow,292
The Penny Whistle,293
The Trumpet,293
Digging,293
Thaw,294
Gallows,294
Fifty Faggots,294
Haymaking,295
Out in the Dark,295
John Masefield (1878- ),296
A Consecration,298
Sea-Fever,298
A Wanderer's Song,299
Sorrow of Mydath,299
Tomorrow,299
The West Wind,300
Rounding the Horn,300
C. L. M.,302
Cargoes,302
Captain Stratton's Fancy,303
Night on the Downland,303
On Growing Old,304
Two Sonnets,
"Flesh, I have knocked at many a dusty door",305
Is there a great green commonwealth of Thought,305
Laugh and Be Merry,305
The Choice,306
The Passing Strange,306
Lord Dunsany (1878- ),307
Snow on the East Wind,308
Songs from an Evil Wood,308
Harold Monro (1879-1932),309
Every Thing,310
Children of Love,312
Strange Meetings,312
If Suddenly a Clod of Earth,312
A Flower Is Looking,313
Solitude,313
Milk for the Cat,313
Dog,314
Man Carrying Bale,315
The Nightingale Near the House,316
City-Storm,316
The Hurrier,317
W. W. Gibson (1880- ),317
Prelude,318
The Stone,318
Sight,319
Alfred Noyes (1880- ),320
Sherwood,321
The Barrel-Organ,322
Epilogue,325
Padraic Colum (1881- ),326
The Plower,326
An Old Woman of the Roads,327
Interior,327
A Drover,327
Wild Ass,328
Joseph Campbell (1881- ),328
I Am the Mountainy Singer,328
The Old Woman,328
John Freeman (1881-1929),329
Stone Trees,329
The Fugitive,329
The Wakers,330
Lascelles Abercrombie (1881- ),330
"Song from ""Judith""",331
Epilogue,332
Woman's Beauty,333
Witchcraft: New Style,334
James Stephens (1882- ),337
The Shell,338
What Thomas an Buile Said in a Pub,338
"To the Four Courts, Please",339
Little Things,339
The Red-Haired Man's Wife,340
Hate,341
The Watcher,341
Righteous Anger,341
Odell,341
Blue Blood,342
The Main-Deep,342
In Waste Places,342
Good and Bad,343
The Outcast,343
The Crest Jewel,343
James Joyce (1882- ),344
I Hear an Army,344
All Day I Hear,345
"O Sweetheart, Hear You",345
Song,345
On the Beach at Fontana,345
Flood,345
J. C. Squire (1884- ),346
A House,346
Sonnet,347
A Fresh Morning,348
Prologue: In Darkness,348
James Elroy Flecker (1884-1915),348
The Old Ships,349
Stillness,349
The War Song of the Saracens,350
Tenebris Interlucentem,350
To a Poet a Thousand Years Hence,350
The Town Without a Market,351
Anna Wickham (1884- ),352
Creatrix,353
Song,353
Self-Analysis,353
Sehnsucht,354
Weapons,354
The Last Round,354
To a Crucifix,355
Friend Cato,355
The Song-Maker,355
Dedication of the Cook,355
Meditation at Kew,356
The Affinity,356
The Tired Woman,357
Divorce,358
After Annunciation,358
The Cherry-Blossom Wand,358
Soul's Liberty,359
To Men,359
The Singer,360
Envoi,360
D. H. Lawrence (1885-1930),360
A Youth Mowing,362
Lightning,363
Suspense,364
A Young Wife,364
Cherry Robbers,364
A Winter's Tale,364
Love on the Farm,365
Piano,366
Green,367
A White Blossom,367
Wedding Morn,367
Whether or Not,368
Aware,374
Kisses in the Train,374
Spring Morning,374
Trees in the Garden,375
F. S. Flint (1885- ),375
London,376
Plane-Tree,376
Sadness,377
Chrysanthemums,377
Beggar,377
Gerald Gould (1885- ),377
Song,378
Mortality,378
Twilight,378
The Happy Tree,378
Humbert Wolfe (1885- ),379
Tulip,380
Thrushes,380
The Gray Squirrel,381
Lamb,381
The Lilac,381
The Rose,381
Laburnum,381
Things Lovelier,382
Green Candles,382
Queen Victoria,382
Love Is a Keeper of Swans,382
Man,382
The Waters of Life,383
This Is Not Death,383
Iliad,384
Frances Cornford (1886- ),384
The Country Bedroom,385
To a Fat Lady Seen from the Train,385
The Watch,385
A Wasted Day,385
At Night,386
The Unbeseechable,386
The Hills,386
T. E. Hulme (1886-1917),387
Autumn,387
Conversion,387
The Embankment,387
Siegfried Sassoon (1886- ),388
Dreamers,389
The Rear-Guard,390
Base Details,390
Attack,390
Counter-Attack,391
Does It Matter?,392
The Dug-Out,392
Invocation,392
Aftermath,393
Everyone Sang,393
Falling Asleep,394
The Wisdom of the World,394
Everyman,394
Conclusion,395
Prehistoric Burials,395
Limitations,395
Grandeur of Ghosts,396
Alone,397
Presences Perfected,397
Elected Silence,397
Rupert Brooke (1887-1915),398
The Great Lover,399
The Chilterns,401
The Hill,401
Dust,402
Sonnet,402
The Soldier,403
Heaven,403
Second Best,403
The Busy Heart,404
Dining-Room Tea,405
"The Old Vicarage, Grantchester",405
Joseph Plunkett (1887-1916),407
I See His Blood upon the Rose,407
Poppies,407
Edwin Muir (1887- ),408
The Enchanted Prince,408
Grass,409
Edith Sitwell (1887- ),409
Aubade,411
Sir Beelzebub,411
The King of China's Daughter,411
Solo for Ear-Trumpet,412
Gardener Janus Catches a Naiad,412
Spinning Song,412
Panope,413
Colonel Fantock,414
Arthur Waley (1889- ),416
"From the ""Book of Odes""",417
Hot Cake,417
The Cranes,417
W. J. Turner (1889- ),418
Romance,419
Song,419
The Robber,419
Talking with Soldiers,419
The Lion,420
The Music of a Tree,421
Camilla Doyle,421
The Rabbit,421
March,421
The Moon,422
Muriel Stuart,422
The Seed Shop,422
Common Fires,423
Theodore Maynard (1890- ),423
Exile,424
The World's Miser,425
Isaac Rosenberg (1890-1918),425
The One Lost,426
The Jew,426
The Dead Heroes,426
Francis Ledwidge (1891-1917),427
Evening Clouds,427
The Wife of Llew,428
A Rainy Day in April,428
Viola Meynell,428
Jonah and the Whale,429
The Maid in the Rice-Fields,430
A Girl,430
Francis Meynell (1891- ),431
Man and Beast,431
Permanence,431
Richard Aldington (1892- ),432
Images,432
The Faun Sees Snow for the First Time,433
At the British Museum,433
Evening,433
Vicarious Atonement,433
Possession,433
After Two Years,434
Stella Benson (1892-1933),434
Words,435
Five Smooth Stones,435
V. Sackville-West (1892- ),437
Weed Month,438
Full Moon,438
A Saxon Song,438
Winter Song,439
Osbert Sitwell (1892- ),440
The Blind Peddler,440
Fountains,441
Elegy for Mr. Goodbeare,441
Robert Nichols (1893- ),442
Fulfillment,443
The Pilgrim,443
To ----,444
Nearer,444
Wilfred Owen (1893-1918),444
Futility,445
Apologia Pro Poemate Meo,446
Anthem for Doomed Youth,447
Dulce et Decorum Est,447
"From My Diary, July 1914",448
The Unreturning,448
Greater Love,449
Miners,449
Arms and the Boy,450
Strange Meeting,451
Frank Prewett (1893- ),452
Out of the Night,452
When Cuckoo First,452
Voices of Women,453
Snow-Buntings,453
Richard Church (1893- ),454
The Lantern,454
From an Upland Valley,455
Portent,455
The Purification,456
Frank Kendon (1893- ),456
I Spend My Days Vainly,457
The Kernel,457
The Immigrant,457
So Deep Is Death,457
Herbert Read (1893- ),458
Device,458
"From ""The Analysis of Love""",459
The Refugees,459
Tourists in a Sacred Place,459
Sylvia Townsend Warner (1893- ),460
Four Epitaphs,461
