author,title,page
Leonora Speyer,A Truth about a Lie,483
Leonora Speyer,The Heart Looks on,483
Leonora Speyer,Words to Sleep upon,484
James Stephens,What Tomas An Buile said in a Pub,484
James Stephens,Bessie Bobtail,485
James Stephens,Hate,486
James Stephens,"The Waste Places, I-II",486
James Stephens,Hawks,488
James Stephens,Dark Wings,489
George Sterling,A Legend of the Dove,489
George Sterling,Kindred,490
George Sterling,Omnia Exeunt in Mysterium,490
George Sterling,The Last Days,491
Wallace Stevens,"Peter Quince at the Clavier, I-IV",492
Wallace Stevens,In Battle,494
Wallace Stevens,"Sunday Morning, I-V",494
Wallace Stevens,Bowl,497
Wallace Stevens,Tattoo,497
Wallace Stevens,Death of the Soldier,498
Wallace Stevens,The Worms at Heaven's Gate,498
Wallace Stevens,Pecksniffiana: Fabliau of Florida,499
Wallace Stevens,Pecksniffiana: The Weeping Burgher,499
Wallace Stevens,Pecksniffiana: Peter Parasol,500
Wallace Stevens,Pecksniffiana: Of the Surface of Things I-II,500
Wallace Stevens,Pecksniffiana: The Place of the Solitaires,500
Wallace Stevens,Pecksniffiana: The Paltry Nude Starts on a Spring Voyage,501
Wallace Stevens,Sur Ma Guzzla Gracile: The Snow Man,502
Wallace Stevens,Sur Ma Guzzla Gracile: Tea at the Palaz of Hoon,502
Wallace Stevens,Sur Ma Guzzla Gracile: Another Weeping Woman,503
Wallace Stevens,Sur Ma Guzzla Gracile: The Load of Sugar-cane,503
Wallace Stevens,Sur Ma Guzzla Gracile: Hibiscus on the Sleeping Shores,504
Wallace Stevens,"Le Monocle de Mon Oncle, I-XII",504
Marion Strobel,Spring Morning,508
Marion Strobel,We Have a Day,509
Marion Strobel,Little Things,510
Marion Strobel,Frightened Face,510
Marion Strobel,Daily Prayer,511
Ajan Syrian,"The Syrian Lover in Exile Remembers Thee, Light of my Land",511
Genevieve Taggard,For Eager Lovers,513
Genevieve Taggard,The Enamel Girl,514
Genevieve Taggard,The Quiet Woman,515
Genevieve Taggard,Sea-change,515
Genevieve Taggard,Tropical Girl to Her Garden,515
Rabindranath Tagore,"From ""Gitanjali,"" I-VI",516
Rabindranath Tagore,"From ""The Gardener,"" I-IX",518
Sara Teasdale,Leaves,522
Sara Teasdale,Morning,522
Sara Teasdale,The Flight,523
Sara Teasdale,Over the Roofs,523
Sara Teasdale,Debt,523
Sara Teasdale,Songs in a Hospital: The Broken Field,524
Sara Teasdale,Songs in a Hospital: Open Windows,524
Sara Teasdale,After Death,525
Sara Teasdale,In Memoriam F. O. S.,525
Sara Teasdale,Swallow Flight,525
Sara Teasdale,The Answer,526
Sara Teasdale,Blue Squills,526
Sara Teasdale,"""What Do I Care?""",527
Sara Teasdale,On the Dunes,527
Sara Teasdale,"""There Will Come Soft Rains""",527
Sara Teasdale,My Heart is Heavy,528
Sara Teasdale,It is Not a Word,528
Sara Teasdale,"""Let it Be Forgotten""",529
Sara Teasdale,Stars,529
